"model.name","Sensitivity","Specificity","Balanced.Accuracy","Accuracy.of.effect.size.ranking","fitting.error.rate","file.name"
"Multivariate Cox",--,--,--,0.2311,0,"Cox_regression_simulation_n100_sim_7_09192022summary.RData"
"Univariate Cox",0.0577,0.763,0.41035,0.1597,0,"Cox_regression_simulation_n100_sim_7_09192022summary.RData"
"Logistic Regression",0,0.8176,0.4088,0.0173,0,"Cox_regression_simulation_n100_sim_7_09192022summary.RData"
"Gaussian Regression (1 feature)",0.0736,0.776,0.4248,0.1792,0,"Cox_regression_simulation_n100_sim_7_09192022summary.RData"
"glmnet Cox (lambda min)",0.4997,0.1587,0.3292,0.2138,0,"Cox_regression_simulation_n100_sim_7_09192022summary.RData"
"glmnet Cox (lambda 1se)",0.1899,0.7268,0.45835,0.132,0,"Cox_regression_simulation_n100_sim_7_09192022summary.RData"
"glmnet Gaussian (lambda=0.05)",0.6348,0.0675,0.35115,0.2553,0,"Cox_regression_simulation_n100_sim_7_09192022summary.RData"
"Gaussian Regression (selected features)",--,--,--,0.0963,0.0015,"Cox_regression_simulation_n100_sim_7_09192022summary.RData"
"Multivariate Cox",--,--,--,0.3073,0,"Cox_regression_simulation_n150_sim_7_09192022summary.RData"
"Univariate Cox",0.112,0.7689,0.44045,0.2289,0,"Cox_regression_simulation_n150_sim_7_09192022summary.RData"
"Logistic Regression",0,0.8028,0.4014,0.0183,0,"Cox_regression_simulation_n150_sim_7_09192022summary.RData"
"Gaussian Regression (1 feature)",0.137,0.7801,0.45855,0.257,0,"Cox_regression_simulation_n150_sim_7_09192022summary.RData"
"glmnet Cox (lambda min)",0.6147,0.1206,0.36765,0.3124,0,"Cox_regression_simulation_n150_sim_7_09192022summary.RData"
"glmnet Cox (lambda 1se)",0.2534,0.7493,0.50135,0.2155,0,"Cox_regression_simulation_n150_sim_7_09192022summary.RData"
"glmnet Gaussian (lambda=0.05)",0.657,0.1189,0.38795,0.3477,0,"Cox_regression_simulation_n150_sim_7_09192022summary.RData"
"Gaussian Regression (selected features)",--,--,--,0.185,3e-04,"Cox_regression_simulation_n150_sim_7_09192022summary.RData"
"Multivariate Cox",--,--,--,0.384,0,"Cox_regression_simulation_n200_sim_7_09192022summary.RData"
"Univariate Cox",0.1585,0.7745,0.4665,0.2968,0,"Cox_regression_simulation_n200_sim_7_09192022summary.RData"
"Logistic Regression",0,0.7939,0.39695,0.0227,0,"Cox_regression_simulation_n200_sim_7_09192022summary.RData"
"Gaussian Regression (1 feature)",0.1926,0.7837,0.48815,0.3244,0,"Cox_regression_simulation_n200_sim_7_09192022summary.RData"
"glmnet Cox (lambda min)",0.6701,0.1078,0.38895,0.3837,0,"Cox_regression_simulation_n200_sim_7_09192022summary.RData"
"glmnet Cox (lambda 1se)",0.3014,0.7647,0.53305,0.2861,0,"Cox_regression_simulation_n200_sim_7_09192022summary.RData"
"glmnet Gaussian (lambda=0.05)",0.6682,0.1758,0.422,0.4104,0,"Cox_regression_simulation_n200_sim_7_09192022summary.RData"
"Gaussian Regression (selected features)",--,--,--,0.2668,0,"Cox_regression_simulation_n200_sim_7_09192022summary.RData"
"Multivariate Cox",--,--,--,0.4344,0,"Cox_regression_simulation_n250_sim_7_09192022summary.RData"
"Univariate Cox",0.2117,0.7626,0.48715,0.3454,0,"Cox_regression_simulation_n250_sim_7_09192022summary.RData"
"Logistic Regression",2e-04,0.7865,0.39335,0.0292,0,"Cox_regression_simulation_n250_sim_7_09192022summary.RData"
"Gaussian Regression (1 feature)",0.252,0.7687,0.51035,0.3748,0,"Cox_regression_simulation_n250_sim_7_09192022summary.RData"
"glmnet Cox (lambda min)",0.7343,0.0829,0.4086,0.4449,0,"Cox_regression_simulation_n250_sim_7_09192022summary.RData"
"glmnet Cox (lambda 1se)",0.3421,0.7776,0.55985,0.3546,0,"Cox_regression_simulation_n250_sim_7_09192022summary.RData"
"glmnet Gaussian (lambda=0.05)",0.686,0.2225,0.45425,0.4809,0,"Cox_regression_simulation_n250_sim_7_09192022summary.RData"
"Gaussian Regression (selected features)",--,--,--,0.3491,0,"Cox_regression_simulation_n250_sim_7_09192022summary.RData"
"Multivariate Cox",--,--,--,0.1572,0,"Cox_regression_simulation_n100_sim_8_09192022summary.RData"
"Univariate Cox",0.0179,0.7627,0.3903,0.1023,0,"Cox_regression_simulation_n100_sim_8_09192022summary.RData"
"Logistic Regression",0,0.7862,0.3931,0.0227,0,"Cox_regression_simulation_n100_sim_8_09192022summary.RData"
"Gaussian Regression (1 feature)",0.0417,0.7729,0.4073,0.1372,0,"Cox_regression_simulation_n100_sim_8_09192022summary.RData"
"glmnet Cox (lambda min)",0.3879,0.195,0.29145,0.122,0,"Cox_regression_simulation_n100_sim_8_09192022summary.RData"
"glmnet Cox (lambda 1se)",0.109,0.7699,0.43945,0.0491,0,"Cox_regression_simulation_n100_sim_8_09192022summary.RData"
"glmnet Gaussian (lambda=0.05)",0.6249,0.0125,0.3187,0.1753,0,"Cox_regression_simulation_n100_sim_8_09192022summary.RData"
"Gaussian Regression (selected features)",--,--,--,0.0478,0.0132,"Cox_regression_simulation_n100_sim_8_09192022summary.RData"
"Multivariate Cox",--,--,--,0.217,0,"Cox_regression_simulation_n150_sim_8_09192022summary.RData"
"Univariate Cox",0.0519,0.7646,0.40825,0.1589,0,"Cox_regression_simulation_n150_sim_8_09192022summary.RData"
"Logistic Regression",1e-04,0.787,0.39355,0.0274,0,"Cox_regression_simulation_n150_sim_8_09192022summary.RData"
"Gaussian Regression (1 feature)",0.0874,0.7702,0.4288,0.1945,0,"Cox_regression_simulation_n150_sim_8_09192022summary.RData"
"glmnet Cox (lambda min)",0.5136,0.1432,0.3284,0.2028,0,"Cox_regression_simulation_n150_sim_8_09192022summary.RData"
"glmnet Cox (lambda 1se)",0.157,0.7849,0.47095,0.1004,0,"Cox_regression_simulation_n150_sim_8_09192022summary.RData"
"glmnet Gaussian (lambda=0.05)",0.6453,0.024,0.33465,0.2445,0,"Cox_regression_simulation_n150_sim_8_09192022summary.RData"
"Gaussian Regression (selected features)",--,--,--,0.103,0.0034,"Cox_regression_simulation_n150_sim_8_09192022summary.RData"
"Multivariate Cox",--,--,--,0.271,0,"Cox_regression_simulation_n200_sim_8_09192022summary.RData"
"Univariate Cox",0.087,0.7665,0.42675,0.1988,0,"Cox_regression_simulation_n200_sim_8_09192022summary.RData"
"Logistic Regression",4e-04,0.7857,0.39305,0.0287,0,"Cox_regression_simulation_n200_sim_8_09192022summary.RData"
"Gaussian Regression (1 feature)",0.1335,0.7778,0.45565,0.2401,0,"Cox_regression_simulation_n200_sim_8_09192022summary.RData"
"glmnet Cox (lambda min)",0.5805,0.1154,0.34795,0.2656,0,"Cox_regression_simulation_n200_sim_8_09192022summary.RData"
"glmnet Cox (lambda 1se)",0.1937,0.7984,0.49605,0.1513,0,"Cox_regression_simulation_n200_sim_8_09192022summary.RData"
"glmnet Gaussian (lambda=0.05)",0.6579,0.0449,0.3514,0.2977,0,"Cox_regression_simulation_n200_sim_8_09192022summary.RData"
"Gaussian Regression (selected features)",--,--,--,0.1637,7e-04,"Cox_regression_simulation_n200_sim_8_09192022summary.RData"
"Multivariate Cox",--,--,--,0.3262,0,"Cox_regression_simulation_n250_sim_8_09192022summary.RData"
"Univariate Cox",0.128,0.7684,0.4482,0.242,0,"Cox_regression_simulation_n250_sim_8_09192022summary.RData"
"Logistic Regression",0.0013,0.7798,0.39055,0.036,0,"Cox_regression_simulation_n250_sim_8_09192022summary.RData"
"Gaussian Regression (1 feature)",0.1815,0.7748,0.47815,0.287,0,"Cox_regression_simulation_n250_sim_8_09192022summary.RData"
"glmnet Cox (lambda min)",0.6504,0.1019,0.37615,0.3346,0,"Cox_regression_simulation_n250_sim_8_09192022summary.RData"
"glmnet Cox (lambda 1se)",0.2374,0.8134,0.5254,0.2066,0,"Cox_regression_simulation_n250_sim_8_09192022summary.RData"
"glmnet Gaussian (lambda=0.05)",0.6667,0.0691,0.3679,0.3568,0,"Cox_regression_simulation_n250_sim_8_09192022summary.RData"
"Gaussian Regression (selected features)",--,--,--,0.2213,2e-04,"Cox_regression_simulation_n250_sim_8_09192022summary.RData"
"Multivariate Cox",--,--,--,0.1126,0,"Cox_regression_simulation_n100_sim_7_corr8_09192022summary.RData"
"Univariate Cox",0.9868,0.8677,0.92725,0.0387,0,"Cox_regression_simulation_n100_sim_7_corr8_09192022summary.RData"
"Logistic Regression",0.0594,0.8873,0.47335,0.0108,0,"Cox_regression_simulation_n100_sim_7_corr8_09192022summary.RData"
"Gaussian Regression (1 feature)",1,0.8658,0.9329,0.0655,0,"Cox_regression_simulation_n100_sim_7_corr8_09192022summary.RData"
"glmnet Cox (lambda min)",0.9985,0.0873,0.5429,0.1568,0,"Cox_regression_simulation_n100_sim_7_corr8_09192022summary.RData"
"glmnet Cox (lambda 1se)",0.9973,0.6721,0.8347,0.1557,0,"Cox_regression_simulation_n100_sim_7_corr8_09192022summary.RData"
"glmnet Gaussian (lambda=0.05)",0.9932,0.3606,0.6769,0.1586,0,"Cox_regression_simulation_n100_sim_7_corr8_09192022summary.RData"
"Gaussian Regression (selected features)",--,--,--,0.1482,0,"Cox_regression_simulation_n100_sim_7_corr8_09192022summary.RData"
"Multivariate Cox",--,--,--,0.1543,0,"Cox_regression_simulation_n150_sim_7_corr8_09192022summary.RData"
"Univariate Cox",0.9884,0.8736,0.931,0.0509,0,"Cox_regression_simulation_n150_sim_7_corr8_09192022summary.RData"
"Logistic Regression",0.0824,0.8795,0.48095,0.0087,0,"Cox_regression_simulation_n150_sim_7_corr8_09192022summary.RData"
"Gaussian Regression (1 feature)",1,0.8738,0.9369,0.0895,0,"Cox_regression_simulation_n150_sim_7_corr8_09192022summary.RData"
"glmnet Cox (lambda min)",1,0.0822,0.5411,0.2195,0,"Cox_regression_simulation_n150_sim_7_corr8_09192022summary.RData"
"glmnet Cox (lambda 1se)",1,0.7011,0.85055,0.2234,0,"Cox_regression_simulation_n150_sim_7_corr8_09192022summary.RData"
"glmnet Gaussian (lambda=0.05)",0.9982,0.4554,0.7268,0.2062,0,"Cox_regression_simulation_n150_sim_7_corr8_09192022summary.RData"
"Gaussian Regression (selected features)",--,--,--,0.1929,0,"Cox_regression_simulation_n150_sim_7_corr8_09192022summary.RData"
"Multivariate Cox",--,--,--,0.1946,0,"Cox_regression_simulation_n200_sim_7_corr8_09192022summary.RData"
"Univariate Cox",0.9886,0.8722,0.9304,0.0537,0,"Cox_regression_simulation_n200_sim_7_corr8_09192022summary.RData"
"Logistic Regression",0.101,0.88,0.4905,0.0106,0,"Cox_regression_simulation_n200_sim_7_corr8_09192022summary.RData"
"Gaussian Regression (1 feature)",1,0.8734,0.9367,0.1114,0,"Cox_regression_simulation_n200_sim_7_corr8_09192022summary.RData"
"glmnet Cox (lambda min)",1,0.0736,0.5368,0.2777,0,"Cox_regression_simulation_n200_sim_7_corr8_09192022summary.RData"
"glmnet Cox (lambda 1se)",1,0.7303,0.86515,0.2856,0,"Cox_regression_simulation_n200_sim_7_corr8_09192022summary.RData"
"glmnet Gaussian (lambda=0.05)",0.9994,0.5327,0.76605,0.2528,0,"Cox_regression_simulation_n200_sim_7_corr8_09192022summary.RData"
"Gaussian Regression (selected features)",--,--,--,0.2403,0,"Cox_regression_simulation_n200_sim_7_corr8_09192022summary.RData"
"Multivariate Cox",--,--,--,0.2251,0,"Cox_regression_simulation_n250_sim_7_corr8_09192022summary.RData"
"Univariate Cox",0.9887,0.8765,0.9326,0.0659,0,"Cox_regression_simulation_n250_sim_7_corr8_09192022summary.RData"
"Logistic Regression",0.1167,0.876,0.49635,0.0098,0,"Cox_regression_simulation_n250_sim_7_corr8_09192022summary.RData"
"Gaussian Regression (1 feature)",1,0.8724,0.9362,0.1345,0,"Cox_regression_simulation_n250_sim_7_corr8_09192022summary.RData"
"glmnet Cox (lambda min)",1,0.0748,0.5374,0.3231,0,"Cox_regression_simulation_n250_sim_7_corr8_09192022summary.RData"
"glmnet Cox (lambda 1se)",1,0.7508,0.8754,0.3303,0,"Cox_regression_simulation_n250_sim_7_corr8_09192022summary.RData"
"glmnet Gaussian (lambda=0.05)",0.9995,0.5987,0.7991,0.3005,0,"Cox_regression_simulation_n250_sim_7_corr8_09192022summary.RData"
"Gaussian Regression (selected features)",--,--,--,0.2789,0,"Cox_regression_simulation_n250_sim_7_corr8_09192022summary.RData"
"Multivariate Cox",--,--,--,0.0762,0,"Cox_regression_simulation_n100_sim_8_corr8_09192022summary.RData"
"Univariate Cox",0.9615,0.8666,0.91405,0.0233,0,"Cox_regression_simulation_n100_sim_8_corr8_09192022summary.RData"
"Logistic Regression",0.0548,0.8824,0.4686,0.0092,0,"Cox_regression_simulation_n100_sim_8_corr8_09192022summary.RData"
"Gaussian Regression (1 feature)",1,0.8716,0.9358,0.0515,0,"Cox_regression_simulation_n100_sim_8_corr8_09192022summary.RData"
"glmnet Cox (lambda min)",0.9839,0.083,0.53345,0.0972,0,"Cox_regression_simulation_n100_sim_8_corr8_09192022summary.RData"
"glmnet Cox (lambda 1se)",0.9624,0.609,0.7857,0.0912,0,"Cox_regression_simulation_n100_sim_8_corr8_09192022summary.RData"
"glmnet Gaussian (lambda=0.05)",0.9161,0.1096,0.51285,0.0889,0,"Cox_regression_simulation_n100_sim_8_corr8_09192022summary.RData"
"Gaussian Regression (selected features)",--,--,--,0.0824,0,"Cox_regression_simulation_n100_sim_8_corr8_09192022summary.RData"
"Multivariate Cox",--,--,--,0.1033,0,"Cox_regression_simulation_n150_sim_8_corr8_09192022summary.RData"
"Univariate Cox",0.9641,0.8703,0.9172,0.0316,0,"Cox_regression_simulation_n150_sim_8_corr8_09192022summary.RData"
"Logistic Regression",0.0859,0.876,0.48095,0.0105,0,"Cox_regression_simulation_n150_sim_8_corr8_09192022summary.RData"
"Gaussian Regression (1 feature)",1,0.8664,0.9332,0.0661,0,"Cox_regression_simulation_n150_sim_8_corr8_09192022summary.RData"
"glmnet Cox (lambda min)",0.9967,0.0784,0.53755,0.1426,0,"Cox_regression_simulation_n150_sim_8_corr8_09192022summary.RData"
"glmnet Cox (lambda 1se)",0.9916,0.6407,0.81615,0.1344,0,"Cox_regression_simulation_n150_sim_8_corr8_09192022summary.RData"
"glmnet Gaussian (lambda=0.05)",0.9602,0.1819,0.57105,0.1212,0,"Cox_regression_simulation_n150_sim_8_corr8_09192022summary.RData"
"Gaussian Regression (selected features)",--,--,--,0.1145,0,"Cox_regression_simulation_n150_sim_8_corr8_09192022summary.RData"
"Multivariate Cox",--,--,--,0.1358,0,"Cox_regression_simulation_n200_sim_8_corr8_09192022summary.RData"
"Univariate Cox",0.9683,0.8686,0.91845,0.038,0,"Cox_regression_simulation_n200_sim_8_corr8_09192022summary.RData"
"Logistic Regression",0.105,0.8759,0.49045,0.0096,0,"Cox_regression_simulation_n200_sim_8_corr8_09192022summary.RData"
"Gaussian Regression (1 feature)",1,0.8718,0.9359,0.0814,0,"Cox_regression_simulation_n200_sim_8_corr8_09192022summary.RData"
"glmnet Cox (lambda min)",0.9996,0.0698,0.5347,0.1863,0,"Cox_regression_simulation_n200_sim_8_corr8_09192022summary.RData"
"glmnet Cox (lambda 1se)",0.9981,0.6694,0.83375,0.1703,0,"Cox_regression_simulation_n200_sim_8_corr8_09192022summary.RData"
"glmnet Gaussian (lambda=0.05)",0.9754,0.2456,0.6105,0.1489,0,"Cox_regression_simulation_n200_sim_8_corr8_09192022summary.RData"
"Gaussian Regression (selected features)",--,--,--,0.1428,0,"Cox_regression_simulation_n200_sim_8_corr8_09192022summary.RData"
"Multivariate Cox",--,--,--,0.1604,0,"Cox_regression_simulation_n250_sim_8_corr8_09192022summary.RData"
"Univariate Cox",0.9666,0.8726,0.9196,0.0436,0,"Cox_regression_simulation_n250_sim_8_corr8_09192022summary.RData"
"Logistic Regression",0.1288,0.8745,0.50165,0.01,0,"Cox_regression_simulation_n250_sim_8_corr8_09192022summary.RData"
"Gaussian Regression (1 feature)",1,0.8736,0.9368,0.0999,0,"Cox_regression_simulation_n250_sim_8_corr8_09192022summary.RData"
"glmnet Cox (lambda min)",0.9999,0.0711,0.5355,0.2225,0,"Cox_regression_simulation_n250_sim_8_corr8_09192022summary.RData"
"glmnet Cox (lambda 1se)",0.9996,0.6929,0.84625,0.2087,0,"Cox_regression_simulation_n250_sim_8_corr8_09192022summary.RData"
"glmnet Gaussian (lambda=0.05)",0.9869,0.3125,0.6497,0.1761,0,"Cox_regression_simulation_n250_sim_8_corr8_09192022summary.RData"
"Gaussian Regression (selected features)",--,--,--,0.1695,0,"Cox_regression_simulation_n250_sim_8_corr8_09192022summary.RData"
"Multivariate Cox",--,--,--,0.7961,0,"Cox_regression_simulation_n1000_sim_7_09172022summary.RData"
"Univariate Cox",0.5693,0.7758,0.67255,0.7093,0,"Cox_regression_simulation_n1000_sim_7_09172022summary.RData"
"Logistic Regression",0.0163,0.7936,0.40495,0.0781,0,"Cox_regression_simulation_n1000_sim_7_09172022summary.RData"
"Gaussian Regression (1 feature)",0.6156,0.7817,0.69865,0.7539,0,"Cox_regression_simulation_n1000_sim_7_09172022summary.RData"
"glmnet Cox (lambda min)",0.9357,0.0454,0.49055,0.8202,0,"Cox_regression_simulation_n1000_sim_7_09172022summary.RData"
"glmnet Cox (lambda 1se)",0.5742,0.8987,0.73645,0.7816,0,"Cox_regression_simulation_n1000_sim_7_09172022summary.RData"
